FIP Question,DCS Field,maDMP Value,Allowed Values,Compliant
Which metadata longevity plan do you use?,,null,,No choice made by community
Which knowledge representation languages (allowing machine interoperation) do you use for metadata records?,,null,JSON-LD,No
Which knowledge representation languages (allowing machine interoperation) do you use for datasets?,,null,,No choice made by community
Which structured vocabularies do you use to annotate your metadata records?,dataset.metadata.metadata_standard_id.identifier,null,IPCC Glossary,No
Which structured vocabularies do you use to encode your datasets?,dataset.metadata.metadata_standard_id.identifier,null,,No choice made by community
"Which models, schema(s) do you use for your metadata records?",dataset.metadata.metadata_standard_id.type,null,RO-Crate ,No
"Which models, schema(s) do you use for your datasets?",dataset.metadata.metadata_standard_id.type,null,,No choice made by community
Which usage license do you use for your metadata records?,dataset.distribution.license.license_ref,null,CC BY 4.0,No
Which usage license do you use for your datasets?,dataset.distribution.license.license_ref,null,,No choice made by community
Which metadata schemas do you use for describing the provenance of your metadata records?,dataset.data_quality_assurance,"[[""Data conform to format specification""]]",RO-Crate ,[No]
Which metadata schemas do you use for describing the provenance of your datasets?,dataset.data_quality_assurance,"[[""Data conform to format specification""]]",,No choice made by community
